name,kCal,carbs,sugar,cookTime,img
"Parma ham, beetroot & mozzarella salad ", 237, 24.0g, 9.8g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-07/Parma-ham-salad-1000x600%20%282%29.jpg?VersionId=oLF5UMelbvurgq5k0bcnyT4NQiI343_5&itok=YYotdpmb
Blueberry and avocado creamsicles, 85, 9.7g, 9.4g,490,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Blueberry%20%26%20Avocado%20Creamsicles%20wide.jpg?VersionId=twnxNa5QdISUjQU5ci2ibarjG3pt0JP7&itok=H5ab2Ty9
Spicy vegetable samosas , 205, 37.2g, 9.5g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/shutterstock_1010318461.jpg?VersionId=vnHgi_KHTn5da7MBrokG8Hp0_Inskjm6&itok=UJqs5YM9
Super soba noodles, 400, 55.7g, 15.0g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Soba%20noodles%201000x600.jpg?VersionId=z3A3GuJkChd6E9XlNykn0MuSb9bkK1A6&itok=-0kG_6dB
Chicken noodles, 430, 62.0g, 3.8g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Chicken-noodles.jpg?VersionId=rbKSwWoBG7k5X.wkJMYkzLcP.Gi3TmoC&itok=t_cBhRs5
"Avocado, banana and cashew toast", 316, 25.0g, 7.4g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Avocado%2C-banana-and-cashew-toast.jpg?VersionId=NxL_621AGX88z48TUu4.nu1xMSfcAHj1&itok=nt0hwPiy
Baked sea bass and roasted red peppers, 445, 37.7g, 9.9g,80,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Baked-seabass-and-roasted-red-peppers_0.jpg?VersionId=Yr1Vnltw7setOPXBlPvHflaIGMouAe2z&itok=8wk5LOXL
Yogurt and vanilla panna cotta with summer fruits, 137, 17.8g, 17.8g,220,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Yoghurt-And-Vanilla-Panna-Cotta.jpg?VersionId=uOoC6owr3rGqjLn04fAMWIBafFxoteYv&itok=PtY443_Z
Yakitori chicken, 70, 2.1g, 1.9g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Yakitori-Chicken.jpg?VersionId=1jJDN_UEFshJQMHOIBvrgZwSrKdMT0a3&itok=rgWSiLlm
Witchetty grubs in swamp juice, 205, 35.9g, 2.1g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/HALLOWEEN%2520WITCHETY%2520GRUBS%2520IN%2520SWAMP%2520SAUCE.jpg?VersionId=jbF0WkXEyaRu64V3rt8cuiz8aqY6.vem&itok=3UNRmkp6
Wholemeal fruit bars, 117, 17.3g, 8.2g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Wholemeal-Fruitbars.jpg?VersionId=iIrlWGZAdD_rLeojNhItiRIUPXyTb1My&itok=mjbKLDKG
Wholemeal spinach and cheddar pancakes , 219, 24.0g, 6.7g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/wholemealspinachchessarpancakes465x280.jpg?VersionId=5fz0dXu8KZ24UxdTjNcQLnptz_E4hC6N&itok=NOibr9l5
"White bean, tuna and lemon salad", 284, 26.9g, 6.3g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/White-Bean-Tuna-And-Lemon-Dressing.jpg?VersionId=vlOL7YjuB2ex8F_3ehamB8mpWjvKnlcA&itok=b-EdzF_4
Welsh Leek Rarebit, 235, 18.3g, 2.8g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/WelshLeekRarebit.jpg?VersionId=E1H_j07XPwha7NHZmCkqZ0BdERSH9ham&itok=l9B0xK_H
White bean and lamb stew, 340, 32.6g, 13.4g,100,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/White-Bean-And-Lamb-Stew.jpg?VersionId=u27S1ktcX.QcY1OSLz9CUvuAHckBn3hI&itok=myiv42rf
