name,kCal,carbs,sugar,cookTime,img
Poached fruit crumble , 331, 62.4g, 43.9g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/Poached%20fruit%20crumble%201000x600%20%281%29.jpg?VersionId=SbIBKrosHurxksTY44MhJrX4oMGNOx5O&itok=2LgMSMZt
Mexican turkey meatballs , 325, 27.0g, 12.0g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/Mexican-meatballs-1000x600%20%281%29.jpg?VersionId=QtxgcWqysKqFof9QoMYaiXKQbUICYOZV&itok=cp-243U9
Harissa tomato tarts, 260, 48.1g, 10.4g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/harissa-tomato-tarts%201000x600%20%282%29.jpg?VersionId=5X.zuXjyUUz1y6iG0z3kxJ1xsKfGtNhk&itok=A_dUSbmP
Aubergine and chickpea curry , 433, 63.0g, 16.0g,55,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/Aubergine%20%26%20chickpea%20curry%201000x600%20%281%29.jpg?VersionId=WbYGqMUr1mBAjvp1adCyfSGUji5btkMD&itok=V4Gy4gXT
"Warm bacon, flageolet bean and watercress salad", 163, 11.5g, 4.3g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Warm-Bacon-Flagelot-Bean-Salad.jpg?VersionId=eSIRR4JJVmPEcccfaOkrcgrzZX5k3ui1&itok=DuIfwEuJ
Vegetable ragu and pasta, 421, 69.3g, 14.7g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/VegetableRagu1000x600.jpg?VersionId=JfUdaWi7gS5.EqcmE0cW7iaw_jvQBKRK&itok=SBJOMCtE
Turkey and mushroom pie , 270, 27.0g, 5.8g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/turkeyandmushroompie465x280.jpg?VersionId=Hx26_FELCv.T1NX6gYMoEJOuOGPERwUj&itok=xHbAPIWe
Chicken and lentil curry , 332, 30.5g, 9.0g,55,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PAKISTANI%2520CHICKEN%2520AND%2520LENTIL%2520CURRY%25202.jpg?VersionId=MM57yTucXN4_oFbW4FYJdfB2KRZoK9nX&itok=xx2kiCTL
Vegetarian lasagne, 358, 45.5g, 15.5g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/All-in-One%20Lasagna%20wide.jpg?VersionId=Ta9Lu5Iyz4eHGwTw_YF27hTN0STZj8WE&itok=4ATVjCdh
Spanish-style chicken traybake, 464, 33.0g, 11.6g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-08/traybake%20%281%29.jpeg?VersionId=rkf40BP96VTyAyGyGlDWc8fQr5f9ydSN&itok=s2yVaGVC
Cajun Tofu with Spicy Rice, 438, 43.68g, 12.1g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-08/cajun%20%281%29.jpeg?VersionId=_I7JsZF.FVtixKW5CJSOaS409Xl7wQaL&itok=48Fj7-oQ
Warm exotic fruit salad, 112, 24.2g, 23.5g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Warm-Exotic-Fruit-Salad.jpg?VersionId=K5wTHFeX3yncjS7nJKcMIbs8uj6KvIZ9&itok=NjZLlvsu
Warm lentil and goats cheese salad, 154, 9.8g, 2.5g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Warm-Lentil-And-Goats-Cheese-Salad.jpg?VersionId=WW_IHd5MAh8BxSmyt0CWfaBWgW90JdDj&itok=RrvoIWnS
Virgin mojito, 5, 0.9g, 0.1g,5,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/VirginMojito1000x600.jpg?VersionId=0VrnsmE6xAsrjhO8_2xm6zXYttJra3lx&itok=07_Fjfna
Vietnamese crunchy peanut salad, 459, 62.2g, 9.2g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PeanutSalad.jpg?VersionId=qdpXyZRDEG8ZOzGZo3n3l3E_2n3SiIOv&itok=BE5HUIbQ
Vietnamese beef salad, 169, 16.1g, 4.8g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/vbsalad465x280.jpg?VersionId=zUFA64k4cMhOjpZ1.6BXi_jc0kRVc_7e&itok=SSpTdzDr
Very berry porridge, 348, 46.7g, 12.9g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/VeryBerryPorridge.jpg?VersionId=ave6XrfBcPyG7nXIDybOebqBxjUTjUjD&itok=mcQEl8Jz
Vegetable pizza, 312, 40.5g, 9.1g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/VegetablePizza.jpg?VersionId=Of_DE0emG4ZISPgFI_KypDeXuIqFSLZC&itok=EslkH6JH
Vegetable pakoras, 106, 8.9g, 3.0g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/pakora465x280.jpg?VersionId=94Da7acpLN_y6QE8fVWyGa0GsCMj3mfO&itok=dgHIfQmv
Vegetable chow mein, 269, 44.7g, 8.0g,29,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/VEGETABLE%2520CHOW%2520MEIN%25201000x600.jpg?VersionId=njzdAYX8ElouMtuR2mPvlxOyxf46Ra.V&itok=agn3-0L_
Vegetable moussaka, 168, 23.7g, 13.8g,75,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/VegetableMousaka1000x600.jpg?VersionId=OzN0i_bL88H5NPhi0kIbKwcXPf2kAu0H&itok=jTL97xd8
Vegetable chilli, 129, 18.3g, 8.8g,75,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Veg-Chilli.jpg?VersionId=VEBDw_cSeQywKrxsg7isl7Vwj3YRLP7Y&itok=Fwu5Da9e
Vegetable and chickpea tagine, 215, 27.7g, 17.8g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Vegetable-And-Chickpea-Tagine.jpg?VersionId=JR3aHzOk6jyhXeL5no4wT7KHB2pKKyyJ&itok=Ov29P-vJ
Turkey burger, 297, 34.1g, 6.6g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/TurkeyBurger1000x600.jpg?VersionId=0Rz4F2dYSoufkC2BYlLvAIESV4D5XrMm&itok=NzpfxGJ2
Turkey and mushroom mince, 223, 11.6g, 7.8g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/turkeyandmushmince1000x600.jpg?VersionId=cGM5X5GmsP2jOlRolyght0dsVoVrfZrw&itok=0EKmvbyA
Turkey and chickpea curry, 447, 30.1g, 8.8g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Boxing-Day-Turkey-Curry.jpg?VersionId=1Z3.sBFm6.txzxMCUdk1la9NPNCl9LIR&itok=yLxajmvV
Turkey and cranberry pinwheel tortillas, 90, 11.8g, 2.7g,18,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/pinwheels.jpg?VersionId=Ps4oCVSvRZpsYsvJ3hjTtBm4nD9z9XAY&itok=fJeK9KCY
Trout with citrus and basil sauce, 166, 3.8g, 3.3g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Trout-With-Citrus-Basil-Sauce.jpg?VersionId=6Gh7blu6A70lbaf6v5S0MpEvGsteqzdp&itok=1kmTSuLs
Tray baked salmon and vegetables, 357, 10.8g, 6.9g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/TrayBakedSalmonAndVegetables1000x600.jpg?VersionId=0iNLSZOq6ol2E.oQrfjUHxV5a4mNIgja&itok=Uj9QxiBz
Vermicelli kheer pudding, 225, 26.7g, 10.2g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Vermicelli-Pudding.jpg?VersionId=LYGOZGMwnejpovfHhydMFMk7QCzQKKfU&itok=Fk77A2wd
Venison and cranberry casserole, 265, 18.6g, 10.6g,150,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Venison-Cranberry-Casserole.jpg?VersionId=RauepYFzKPBpCY.ZhrE30Cnz_529pZMh&itok=oUbK83az
Vegetable wrap, 291, 39.2g, 9.6g,7,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-03/Vegetable%20wrap%20%20%281%29.jpg?VersionId=RQrhQFnODgjLoaJIJtnbEkZOvINgvhJz&itok=zoq2MbEB
Vegetarian shepherd’s pie with sweet potato mash, 229, 40.0g, 20.9g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/VegShepherdsPie.jpg?VersionId=oMjFuoyymQfq5ekcLVv8aTcqqIwjY0Iq&itok=wNXFCcWR
Vegetable satay, 292, 32.4g, 23.7g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/VEGETABLE%2520SATAY%25201.jpg?VersionId=eW0BFtipeqqabjJ6CUtKX3LLf_FMcTlb&itok=WAZUqjRe
Vegan stack burger, 391, 55.5g, 16.9g,75,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/veganstack485x280.jpg?VersionId=R81m4.jnCLAy6XT1ei0QsISRYdV_HM2.&itok=kuLeATVy
Tzatziki, 69, 3.1g, 3.0g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tzatziki.jpg?VersionId=waZqvF5iYmN1pVHGrghfDoNP0i4LMFbx&itok=nYAx8G_g
Tuscan bean soup, 147, 18.6g, 9.8g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/TuscanBeanSoup.jpg?VersionId=Q6PMYBcEfXWBQg2C4ovgoOX4ziG0MGEL&itok=cxBfm-XQ
Turkey koftas, 155, 6.6g, 5.3g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/turkeykoftas465x280.jpg?VersionId=4ffo24M8R1qJwmb0TGNjpZVH2O1NPjLO&itok=DLE6M4Jf
Turkey in creamy leek and parsley sauce, 241, 7.6g, 3.9g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/TURKEY%2520ESCALOPES%2520WITH%2520CREAMY%2520LEEK%2520SAUCE.jpg?VersionId=Of_AbDNH67S.6TiLZOQFLLLy1eYOb7ly&itok=dWkw4RAb
Tortillas stuffed with chicken and salad, 484, 60.5g, 11.7g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tortillas-With-Chicken-And-Salad.jpg?VersionId=1I0DzG6aMBrETXtQpXkJhQPTeVSboX63&itok=4CUvd217
Tomato sauce, 55, 7.3g, 6.3g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tomato%2520sauce.jpg?VersionId=yTSECm1UJhpotJ3ffacwrOwKAYb4lRtd&itok=TD8sM-nY
"Tomato, olive, asparagus and bean salad", 141, 14.2g, 4.8g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tomato-Olive-Asparagus-Bean-Salad.jpg?VersionId=OczZIZ4AgSqpxLqm.Kw3tQkF0YLsUsqS&itok=-yiUz_ge
Tomato and tuna pasta, 455, 60.1g, 13.0g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tomato-And-Tuna-Pasta.jpg?VersionId=L0BjifjACiqISUU2um_742CSQ.EjwfXl&itok=9B9lJzki
Tomato bagels, 329, 48.9g, 13.6g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/tomatobagel465x280.jpg?VersionId=yjUTeFSn27ddf3jQc2HlEPJ22mbBF6l8&itok=EaWEKUXA
Tomato and red pepper risotto, 385, 56.3g, 13.9g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tomato-And-Red-Pepper-Risotto.jpg?VersionId=WBCAQBzviLj9vneh2iVnoTl6e29zp39b&itok=7uRZkpel
Pork Chilindron, 269, 18.9g, 15.0g,65,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/chilindron465x280.jpg?VersionId=aCiu_Fj9BAMEn0R00z2zqeVcbdunygCf&itok=ipdCqqR2
Tofu stuffed mushrooms, 179, 3.6g, 3.1g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/tofustuffedmushrooms465x280.jpg?VersionId=qmt7ekceEo1vGs6IPzqtXbGL.e5eSQ8L&itok=qUElipGI
Tofu noodle stir fry, 175, 22.0g, 8.9g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tofu-Noodle-Stir-Fry.jpg?VersionId=ewMpPIA.Q1JUELHBa2r6LcXJImPAuXox&itok=qO3Pb8vb
Tiny crab tartlets, 22, 1.0g, 0.1g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tiny-Crab-Tartlets.jpg?VersionId=KgD4HX97TEvE39t92CAnOrJ6L13sOV65&itok=evjru8zh
Thai style noodles with gingered pork, 545, 76.9g, 12.7g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Thai-Style-Noodles-Gingered-Pork.jpg?VersionId=b4aO0k5rA.EpESOQmRIgRKWVBq0Mgfqk&itok=bnT_xCBN
Thai chicken stir fry, 234, 10.0g, 7.5g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Thai-Chicken-Stir-Fry.jpg?VersionId=ad3mDxlOPMzAOzE14BeaRvFpE_maq1uF&itok=n2jJ5TgJ
Thai cod cakes with chilli dipping sauce, 170, 5.4g, 4.9g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Thai-Cod-Cakes-Chilli-Sauce.jpg?VersionId=5l03bKKbRweCTLKYuqwgt_C2lptYpPNi&itok=Y3iLXq60
Pork balls with tomato sauce and spaghetti, 486, 70.0g, 14.1g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Porkballs-In-Tomato-Sauce.jpg?VersionId=pcslCTNNdw9qygB4v140Qm6kjPy4H8Zl&itok=d5qkxYB0
Popcorn, 34, 6.4g, 0.6g,8,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/HALLOWEEN%2520POPCORN.jpg?VersionId=cBKjzpHX0AA8Lydtv_NUpmpoU0wfYyj0&itok=7e3MX2Pu
Poached salmon blinis, 63, 3.0g, 0.4g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PoachedSalmonBlinis.jpg?VersionId=EVMnadC6LTCYz_vyIBQWcBFf5OKyDYtO&itok=uuGS6Nwk
Polenta with roasted vegetables, 315, 49.1g, 12.6g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Polenta.jpg?VersionId=YIidwL9WFD7Ryk67c3HKCyfRemD.a8xo&itok=F3F3RHbk
Sea bream with spring onion and baby carrots , 213, 11.0g, 7.4g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/poachedplaice465x280.jpg?VersionId=hhgnj3g6BVSM6CLTslZ3q1uv_qRuid16&itok=HiFDWJQL
Piri piri chicken, 229, 1.3g, 0.8g,26,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PERI%2520PERI%2520CHICKEN%25201.jpg?VersionId=SbCCjRSCpSZnSMJQx2l91ooCgMSvyLOq&itok=xHMPM7Cn
Tasty layered potatoes, 301, 51.7g, 1.8g,75,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tasty-Layered-Potatoes.jpg?VersionId=e93B2q4N0fpt1WF2izZef5vXOnEwqXn9&itok=W3twHCun
Tartiflette (breakfast stir-fry), 210, 21.1g, 8.6g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tartiflette.jpg?VersionId=t2pVssFe0NlkQXKYYaCmVcRlyG7fvfdo&itok=976hDsyZ
Tandoori chicken and vegetables, 318, 24.3g, 19.9g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/TandooriChickenVeg.jpg?VersionId=abOi51v6dypwjrJlKG7dgD4dlhn6E267&itok=s1G3-Jtu
Tandoori chicken chapatti, 311, 31.9g, 4.8g,13,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/TandorriChapatti.jpg?VersionId=TTCOliq4USe8qCY05kM7.pUgjee05Bky&itok=ZB8P6rJc
Tabbouleh, 444, 63.7g, 7.7g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Taboulleh.jpg?VersionId=ZCUbkhrBxirRTmhaTZVwl7WvquLI9Zlj&itok=7x78QQUp
Pink poached pears , 75, 16.0g, 16.0g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/pinkpoachedpear465x280.jpg?VersionId=9h_Clus89tIicL3sau0GAtIuilVoBWDK&itok=VCu8gBFs
Phulouri (split pea fritters with hot sauce), 295, 48.0g, 10.0g,70,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Phulouri.jpg?VersionId=4SmTxFFwTNgASEcY9emeafmMHhJ0RNql&itok=z9QCt2tS
Pho, 241, 30.6g, 10.5g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/pho465280.jpg?VersionId=JOw_7m.f0R9bqBU.P7WMFEKR.STe26Gs&itok=evEOTwV2
Perfect pancakes, 73, 11.3g, 1.8g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/pancake1000x600.jpg?VersionId=Etj0B03z9BXm.fcheJrmYhfz0DlI.sfj&itok=hXjsmS4F
Penne with Parma ham and spring vegetables, 453, 60.1g, 5.5g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Penne-With-Parma-Ham.jpg?VersionId=uaujBk12s792e_BTWgeA5WDwUtXQTDYV&itok=B9MQW5xb
Quick chicken korma, 363, 17.8g, 15.2g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Quick-Chicken-Korma.jpg?VersionId=9dxZClBCgXhkoeQEMmtZfRM79s7z6cIG&itok=ukMapeip
Prawn noodles, 186, 25.1g, 7.8g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Prawnnoodles465x280.jpg?VersionId=z_44pYen11svH14PI712S9D5.InlRWob&itok=Gf4QJ5aP
Prawn and vegetable tempura, 180, 18.2g, 1.9g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Tempura.jpg?VersionId=ZuNWpb2tvbqFhyo.nnxxsGMPvoxdc.Fd&itok=Iongb91t
"Potato, leek and cheese soup", 215, 33.8g, 4.9g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Potato-Leek-Cheese-Soup.jpg?VersionId=yw9DBHyKBFcslf717l5V54gWforEmwLJ&itok=rob4Gfxy
Power porridge, 290, 38.1g, 7.0g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/powerp465x280.jpg?VersionId=gXfZhNdE4xn6NgutZcZGFTBsYsMeOf41&itok=EX3Nr4G1
Potato pizza, 357, 60.4g, 3.6g,80,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Potato-Pizza.jpg?VersionId=vDsAG.RN1h.DsKHJTeyoZCC2f8N0hNDw&itok=V0Np8dxN
Potato pancakes, 78, 10.2g, 0.3g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Potato-Cakes.jpg?VersionId=rVVa4X_Cbphg08utfVGbTgtG3tloHnoD&itok=uNfmffcI
Potato and lentil curry, 282, 52.9g, 8.3g,55,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Potato-And-Lentil-Curry.jpg?VersionId=8RPOIK_DDHL6sHl9J8yl0y29ac3jfivA&itok=wBsP0M7D
Portobello mushroom burgers, 306, 32.8g, 8.1g,33,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PORTOBELLO%2520MUSHROOM%2520AND%2520SPINACH%2520BURGERS%25201.jpg?VersionId=y5y7.6BlzWl.Uzx5dorJf72w.H47G9R0&itok=PA0b-bQv
Pork with creamy leek sauce, 223, 10.7g, 8.1g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PorkCreamyLeekSauce.jpg?VersionId=DjB65kos86AHnL26TfU9Pn41dM6FDEEl&itok=UTNsffGL
"Pork chops with roasted pear, apple and new potatoes", 386, 39.0g, 23.9g,65,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Pork-Chop-Pear-Apple-New-Potatoes.jpg?VersionId=_fYGaZr7WMbA7xvrlGmJE3lC0KSS5sF4&itok=chvw8qxw
"Pork, barley and carrot casserole", 271, 25.0g, 9.1g,85,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PorkBarleyCasserole.jpg?VersionId=H4igGedUjbuQZxL7h57BVahQrvorUPhk&itok=_dIczt-L
Rice and beans, 314, 57.3g, 1.8g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Red-Beans-And-Rice.jpg?VersionId=iFXkenVVyuFFZx2qDy1exQsLA5lLp09Y&itok=l-sKqg-T
Rich fruit cake, 200, 25.2g, 14.5g,110,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/FruitCake1000x600.jpg?VersionId=fiC1MDk8ZT3X4Mhez0zHYJZiwbfWltxw&itok=BbKonuvN
Rhubarb fool, 51, 2.8g, 2.0g,46,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/RHUBARB%2520FOOL%25202.jpg?VersionId=ztg3vlnInDEK.WEl1xBnLqJNESCYGjXX&itok=Bf_Got67
Rhubarb and ginger sponge , 157, 13.8g, 2.0g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/rhubarbandginger465x280.jpg?VersionId=asD.WBaJ4JR3Ah0ZLB9zqtqi.15lPA9H&itok=mDvIiiNh
Red lentil soup, 253, 36.8g, 8.1g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Red-Lentil-Soup.jpg?VersionId=_HXAtSnntuu1Snl15zQCwg6MNgJ5rr3f&itok=gHujozRp
Raspberry shortbread mess, 170, 17.5g, 9.0g,5,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/RASPBERRY%2520SHORTBREAD%2520FOOL%25201.jpg?VersionId=KWqhwM4hdkV74suFfGB3bQT6PcRdOAtt&itok=YxVlGUTo
Raspberry fruit spread , 12, 1.0g, 0.7g,130,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Raspberryfuirspread465x280.jpg?VersionId=m9FRS0qmyPOEGd8M0ZeTzOn_iwGFGucm&itok=-L5_4Z3S
Raspberry frozen yogurt, 57, 4.0g, 3.9g,100,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Raspberry-Frozen-Yoghurt.jpg?VersionId=3K2LrhJmWorw0QOR5Lj9JMZ1.jOaU.rN&itok=i5Aja2qq
Rainbow salad, 112, 19.0g, 7.7g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Russian-Salad.jpg?VersionId=0IMk21BFVRxDZIGkIr_oFNmKVVu0OqUk&itok=7tqtKhn4
Quinoa stuffed butternut squash, 331, 48.5g, 19.8g,65,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/QuinoaStuffedButternutSquash1000x600.jpg?VersionId=CHiIjcONv5t69qICO8ldvyzGoPLi1b1x&itok=XE2CkMzg
Quick fruit bread, 98, 19.0g, 7.3g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/QUICK%2520FRUIT%2520BREAD%25202.jpg?VersionId=kFlz9GLTxucIn6O5WoYN.C8B0ACSm3kY&itok=OptZM2l5
